ORDER_ID,CUSTOMER_ID,PRODUCT_ID,ORDER_DATE,QUANTITY
O0077,C040,P019,3/19/2026,4
O0078,C036,P001,3/19/2026,3
O0079,C014,P014,7/21/2026,5
O0080,C039,P011,4/30/2026,4
O0081,C029,P007,5/11/2026,4
O0082,C048,P006,6/18/2026,1
O0083,C019,P017,6/19/2026,5
O0084,C022,P003,7/29/2026,2
O0085,C044,P010,2/27/2026,2
O0086,C010,P001,1/12/2026,2
O0087,C031,P020,8/6/2026,1
O0088,C030,P014,8/15/2026,5
O0089,C013,P013,5/7/2026,4
O0090,C016,P005,6/17/2026,1
O0091,C049,P004,7/19/2026,4
O0092,C015,P006,7/25/2026,5
O0093,C030,P002,5/23/2026,2
O0094,C008,P015,2/4/2026,4
O0095,C043,P017,5/24/2026,5
O0096,C021,P015,6/6/2026,5
O0097,C028,P018,4/25/2026,2
O0098,C048,P016,4/26/2026,3
O0099,C049,P008,8/4/2026,3
O0100,C050,P017,5/5/2026,2
O0101,C018,P015,1/20/2026,3
O0102,C016,P009,3/27/2026,3
O0103,C035,P003,2/5/2026,2
O0104,C015,P013,6/27/2026,2
O0105,C046,P007,1/17/2026,4
O0106,C027,P011,5/19/2026,4
O0107,C027,P002,2/22/2026,4
O0108,C025,P019,8/31/2026,1
O0109,C049,P019,4/8/2026,4
O0110,C001,P012,3/18/2026,4
O0111,C027,P018,7/11/2026,5
O0112,C039,P008,5/5/2026,2
O0113,C018,P014,5/5/2026,1
O0114,C025,P011,6/21/2026,4
O0115,C047,P006,8/4/2026,4
O0116,C009,P020,5/17/2026,1
O0117,C026,P019,5/25/2026,1
O0118,C006,P014,2/4/2026,4
O0119,C012,P002,3/8/2026,4
O0120,C021,P007,4/27/2026,3
O0121,C022,P013,3/13/2026,4
O0122,C017,P003,5/1/2026,1
O0123,C048,P018,1/14/2026,3
O0124,C015,P003,7/19/2026,1
O0125,C049,P001,9/1/2026,2
O0126,C013,P001,6/9/2026,2
O0127,C016,P005,5/2/2026,1
O0128,C037,P007,4/30/2026,3
O0129,C050,P012,2/12/2026,5
O0130,C039,P004,7/19/2026,2
O0131,C020,P004,5/29/2026,1
O0132,C020,P019,6/23/2026,4
O0133,C026,P007,1/20/2026,5
O0134,C045,P008,1/27/2026,3
O0135,C044,P020,7/26/2026,1
O0136,C037,P002,3/30/2026,5
O0137,C028,P012,1/18/2026,5
O0138,C042,P011,1/4/2026,4
O0139,C032,P004,4/21/2026,3
O0140,C041,P015,7/1/2026,2
O0141,C028,P006,7/7/2026,5
O0142,C042,P009,6/7/2026,5
O0143,C050,P016,4/30/2026,4
O0144,C047,P019,3/10/2026,3
O0145,C016,P003,3/13/2026,4
O0146,C016,P015,5/26/2026,5
O0147,C043,P013,3/28/2026,1
O0148,C032,P011,2/16/2026,4
O0149,C014,P012,7/24/2026,3
O0150,C022,P009,8/14/2026,5
